epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,763.596,0.75865,0.65972,1.13111,0.96212,0.98493,0.99344,0.7936,0.77659,0.44358,1.1667,0.000297232,0.000297232,0.000297232
122,768.849,0.76762,0.63363,1.12779,0.95251,0.99628,0.99344,0.76453,0.82347,0.47013,1.17646,0.000287801,0.000287801,0.000287801
123,776.501,0.79412,0.66162,1.13515,0.92089,1,0.98928,0.7706,0.8135,0.48172,1.17811,0.000278369,0.000278369,0.000278369
124,782.128,0.77087,0.61665,1.12656,0.93015,0.97247,0.99344,0.78135,0.80527,0.46636,1.18962,0.000268938,0.000268938,0.000268938
125,788.955,0.78761,0.66073,1.15577,0.93241,0.93507,0.99208,0.78328,0.79763,0.49045,1.17194,0.000259506,0.000259506,0.000259506
126,795.118,0.76208,0.66352,1.13512,0.91951,0.96994,0.98176,0.76811,0.80541,0.49381,1.16131,0.000250075,0.000250075,0.000250075
127,801.145,0.79018,0.68099,1.15374,0.92746,0.96532,0.98798,0.77593,0.79214,0.5025,1.16629,0.000240644,0.000240644,0.000240644
128,808.689,0.73797,0.60736,1.11028,0.94679,1,0.995,0.76176,0.82003,0.45909,1.19213,0.000231212,0.000231212,0.000231212
129,813.955,0.72739,0.59705,1.10523,0.94936,0.98393,0.995,0.75505,0.8271,0.46035,1.20893,0.000221781,0.000221781,0.000221781
130,821.7,0.75954,0.61281,1.1222,0.95974,0.99666,0.995,0.76415,0.84201,0.44922,1.2118,0.000212349,0.000212349,0.000212349
131,827.091,0.74946,0.61179,1.11371,0.96803,1,0.995,0.76814,0.83258,0.44046,1.17217,0.000202918,0.000202918,0.000202918
132,833.548,0.70787,0.58175,1.10255,0.95993,1,0.995,0.7538,0.83149,0.44638,1.16228,0.000193487,0.000193487,0.000193487
133,840.283,0.71879,0.59152,1.10873,0.96452,0.9771,0.995,0.74413,0.88509,0.45983,1.20091,0.000184055,0.000184055,0.000184055
134,845.913,0.73987,0.6163,1.1,0.93529,0.97096,0.995,0.76183,0.80601,0.46926,1.12972,0.000174624,0.000174624,0.000174624
135,853.682,0.71587,0.61223,1.10584,0.94416,0.99777,0.995,0.78146,0.78971,0.44961,1.14949,0.000165192,0.000165192,0.000165192
136,859.293,0.70612,0.60301,1.07979,0.92799,0.98197,0.995,0.78791,0.77668,0.44753,1.15307,0.000155761,0.000155761,0.000155761
137,866.355,0.69574,0.60176,1.10641,0.93374,0.99249,0.995,0.79015,0.78557,0.43317,1.15901,0.00014633,0.00014633,0.00014633
138,872.811,0.69304,0.58338,1.08886,0.93749,1,0.995,0.76082,0.82181,0.43037,1.18686,0.000136898,0.000136898,0.000136898
